epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,19081.8,0.39371,0.16698,0.00128,0.99026,0.98885,0.99453,0.96842,0.25969,0.09988,0.00127,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,19440,0.39098,0.16373,0.00127,0.98915,0.98925,0.9944,0.96787,0.25999,0.10429,0.00127,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,19801,0.39001,0.16433,0.00127,0.99194,0.98707,0.99454,0.96852,0.25921,0.1009,0.00126,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,20162.6,0.38876,0.16354,0.00124,0.99193,0.98937,0.99457,0.96877,0.25884,0.09854,0.00126,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,20535.2,0.38837,0.16255,0.00125,0.98462,0.99029,0.99419,0.96845,0.25815,0.10357,0.00125,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,20894.1,0.38977,0.16594,0.00127,0.9928,0.9896,0.99456,0.96888,0.25849,0.09824,0.00126,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,21253.1,0.39006,0.16418,0.00126,0.99238,0.98787,0.99448,0.96851,0.25833,0.0998,0.00125,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,21613.6,0.38706,0.16142,0.00125,0.99321,0.98868,0.99457,0.96875,0.25724,0.0984,0.00125,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,21983.6,0.38449,0.16097,0.00124,0.99158,0.98857,0.9945,0.96874,0.25668,0.09823,0.00125,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,22348.1,0.39053,0.16138,0.00125,0.99313,0.98875,0.99456,0.96905,0.25614,0.09813,0.00125,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,22709.4,0.38797,0.16173,0.00124,0.99108,0.98951,0.99456,0.96981,0.25467,0.09693,0.00124,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,23068.8,0.38638,0.16635,0.00125,0.99177,0.99038,0.99459,0.96988,0.25444,0.09708,0.00124,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,23428.8,0.38107,0.15786,0.00125,0.99251,0.99064,0.99464,0.97002,0.25344,0.09596,0.00123,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,23800.2,0.3838,0.15744,0.00123,0.99349,0.99144,0.99461,0.97003,0.25383,0.09454,0.00123,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,24160.1,0.38277,0.15724,0.00122,0.99114,0.98961,0.99459,0.9699,0.25265,0.09751,0.00123,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,24518.9,0.38695,0.16028,0.00125,0.99206,0.99071,0.99456,0.97012,0.25275,0.09487,0.00122,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,24879.1,0.38082,0.15678,0.00122,0.99297,0.99065,0.99458,0.97021,0.25245,0.09331,0.00122,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
